record_id,timestamp,task_id,task_name,handler_name,event,status,run_count,retry_count,max_retries,next_run_at,detail,
record_id,timestamp,activity_id,activity_name,event,status,detail,
log_20260301091050433372,2026-03-01T09:10:50.433366-06:00,act_20260301091050433122,NSync,registered,PENDING,Activity registered in scheduler execute loop,
log_20260301091050433696,2026-03-01T09:10:50.433691-06:00,act_20260301091050433122,NSync,started,RUNNING,Run #1,
log_20260301091050433808,2026-03-01T09:10:50.433803-06:00,act_20260301091050433122,NSync,completed,DONE,Activity completed successfully,
log_20260301091101318635,2026-03-01T09:11:01.318629-06:00,act_20260301091101318510,dummy-activity,registered,PENDING,Activity added dynamically,
log_20260301091101320332,2026-03-01T09:11:01.320327-06:00,act_20260301091101320214,dummy-activity,registered,PENDING,Activity added dynamically,
log_20260301091101320524,2026-03-01T09:11:01.320521-06:00,act_20260301091101320214,dummy-activity,started,RUNNING,Run #1,
log_20260301091101320710,2026-03-01T09:11:01.320707-06:00,act_20260301091101320214,dummy-activity,completed,DONE,ok,
log_20260301093559374541,2026-03-01T09:35:59.374532-06:00,act_20260301093559374280,node-sync,registered,PENDING,Activity registered in scheduler execute loop,
log_20260301093559374986,2026-03-01T09:35:59.374982-06:00,act_20260301093559374280,node-sync,started,RUNNING,Run #1,
log_20260301093559375092,2026-03-01T09:35:59.375089-06:00,act_20260301093559374280,node-sync,completed,DONE,Node sync placeholder finished,
log_fe41262690bc,2026-03-01T09:36:56.687651-06:00,system.node_sync,node-sync,node_sync,registered,PENDING,0,0,1,,Task registered in scheduler execute loop,
log_c4174c52d328,2026-03-01T09:36:56.688464-06:00,system.node_sync,node-sync,node_sync,started,RUNNING,1,0,1,,Run #1,
log_16fb401da2ef,2026-03-01T09:36:56.688626-06:00,system.node_sync,node-sync,node_sync,completed,DONE,1,0,1,,Node sync placeholder finished,
